palavras,forca_global,rank_global,forca_peso,rank_peso,forca_global_peso,rank_global_peso
PAGOU,0.3524112,722,0.4398131,1077,0.0434561,1817
NUTRA,0.3523364,723,0.4538318,1012,0.0450702,1682
UNTAR,0.3523364,723,0.3734579,1350,0.0419974,1929
CONGA,0.3521869,724,0.5856075,409,0.0569002,767
PAGEM,0.3521495,725,0.5435514,606,0.0514837,1130
PEGAM,0.3521495,725,0.5809346,428,0.0568212,773
GERIS,0.3521121,726,0.5988785,354,0.0471881,1487
MEIGO,0.3521121,726,0.5336449,649,0.0468462,1518
FEDAM,0.3521121,726,0.5697196,480,0.0563692,813
GIRES,0.3521121,726,0.6235514,263,0.048955,1319
VIGAS,0.3520748,727,0.6183178,282,0.0591163,577
MOVEI,0.3520748,727,0.4951402,828,0.0427687,1871
VAGIS,0.3520748,727,0.5562617,543,0.0520118,1112
ADUBO,0.3520748,727,0.3719626,1356,0.0393891,2104
VIRES,0.3520748,727,0.6353271,219,0.0492111,1303
SERVI,0.3520748,727,0.4605607,979,0.0378776,2201
NARIZ,0.3519252,728,0.4205607,1163,0.0460035,1588
MALHO,0.3518879,729,0.5424299,611,0.0551798,894
MOLHA,0.3518879,729,0.535514,642,0.0556187,866
OLHAM,0.3518879,729,0.3648598,1377,0.0417629,1945
FIBRA,0.3518505,730,0.4730841,926,0.0480874,1411
DITAM,0.3518131,731,0.5213084,706,0.050695,1178
GUIAM,0.3517757,732,0.5398131,623,0.0508601,1168
RUMEI,0.3517757,732,0.4553271,1006,0.0343136,2445
REMIU,0.3517757,732,0.3992523,1257,0.0321097,2594
MUREI,0.3517757,732,0.5291589,668,0.039455,2100
MUGIA,0.3517757,732,0.5026168,793,0.0480588,1415
UIVAM,0.3517383,733,0.4652336,961,0.0485508,1369
TAXOU,0.3515888,734,0.3966355,1266,0.0431561,1842
FRISO,0.351514,735,0.4609346,977,0.03671,2293
SOFRI,0.351514,735,0.3971963,1263,0.0337704,2484
FRIOS,0.351514,735,0.526729,680,0.0384462,2159
MEDOS,0.3514766,736,0.5485981,581,0.0437739,1788
DEMOS,0.3514766,736,0.5334579,650,0.0429662,1855
DOMES,0.3514766,736,0.6001869,350,0.0498056,1255
DOSEM,0.3514766,736,0.5134579,739,0.0423944,1899
TAXEM,0.3513271,737,0.5003738,804,0.0511838,1149
LIXAS,0.3512897,738,0.5900935,391,0.0590338,587
POMBA,0.3512523,739,0.5115888,748,0.0540043,973
BRIOS,0.351215,740,0.5102804,755,0.038107,2184
