palavra_1,palavra_2,palavra_3,forca_global,rank_global,forca_peso,rank_peso,forca_global_peso,rank_global_peso
BUNDE,CLIPS,GRAXO,0.8447103,400,1.208785,1126,0.0844144,2134
BRUXO,CLIPS,VENDA,0.8446729,401,1.3571963,624,0.109985,828
FLUXO,PICHA,TRENS,0.8446729,401,1.2304673,1069,0.0995843,1779
BUNDO,CLIPS,VEXAR,0.8446729,401,1.4091589,393,0.1120655,585
BRUXA,CLIPS,VENDO,0.8446729,401,1.3571963,624,0.109985,828
CLIPS,FUNGO,VETAM,0.8444112,402,1.4792523,131,0.1137562,428
CLIPS,FUNGA,VOTEM,0.8444112,402,1.4349533,290,0.1088576,984
BRUXA,CLIPS,TENHO,0.8443738,403,1.3426168,680,0.11025,796
BRINS,CHUPO,LATEX,0.8443738,403,1.2499065,1017,0.1045475,1474
BRUXO,CLIPS,TENHA,0.8443738,403,1.3426168,680,0.11025,796
BRINS,FLUXO,PAGEM,0.8442991,404,1.3250467,758,0.1053651,1392
BRINS,FOLGA,PUXEM,0.8442991,404,1.4194393,350,0.1101624,807
BRINS,FLUXO,PEGAM,0.8442991,404,1.3624299,600,0.1107027,743
BRINS,FLAVO,PUXEM,0.8442617,405,1.2545794,1005,0.0884321,2041
BUNDA,CLIPS,FORJE,0.8441121,406,1.3996262,434,0.1079553,1099
BUNDE,CLIPS,FORJA,0.8441121,406,1.3996262,434,0.1079553,1099
BREJO,CLIPS,FUNDA,0.8441121,406,1.3347664,715,0.1023794,1646
BUNDO,CLIPS,REFAZ,0.844,407,1.3781308,530,0.1120632,587
BUNDA,CLIPS,FEROZ,0.844,407,1.3719626,558,0.1055352,1379
BUNDO,CLIPS,FERAZ,0.844,407,1.4829907,118,0.1172732,134
CLIPS,FUNDO,ZEBRA,0.844,407,1.3874766,488,0.1107333,740
BUNDO,CLIPS,FAZER,0.844,407,1.3897196,478,0.1069756,1230
BRUXO,CLIPS,JANTE,0.8433271,408,1.268972,959,0.1018739,1677
